,fileName,plantStatus,plantHeight
96,imaging_lens_position_7.0_cam_0_1731267002.jpg,False,0
97,imaging_lens_position_7.0_cam_0_1731954602.jpg,True,147
98,imaging_lens_position_7.0_cam_0_1732728602.jpg,True,885
99,imaging_lens_position_7.0_cam_0_1732548602.jpg,True,653
100,imaging_lens_position_7.0_cam_0_1731969002.jpg,True,142
101,imaging_lens_position_7.0_cam_0_1731328202.jpg,False,0
102,imaging_lens_position_7.0_cam_0_1731879002.jpg,True,158
103,imaging_lens_position_7.0_cam_0_1732505402.jpg,True,194
104,imaging_lens_position_7.0_cam_0_1733254202.jpg,True,1446
105,imaging_lens_position_7.0_cam_0_1731943802.jpg,True,178
106,imaging_lens_position_7.0_cam_0_1731871802.jpg,True,161
107,imaging_lens_position_7.0_cam_0_1732087802.jpg,True,198
108,imaging_lens_position_7.0_cam_0_1732689002.jpg,True,510
109,imaging_lens_position_7.0_cam_0_1732120202.jpg,True,143
110,imaging_lens_position_7.0_cam_0_1731940202.jpg,True,168
111,imaging_lens_position_7.0_cam_0_1731493802.jpg,False,0
112,imaging_lens_position_7.0_cam_0_1732285802.jpg,True,376
113,imaging_lens_position_7.0_cam_0_1731184202.jpg,False,0
114,imaging_lens_position_7.0_cam_0_1732077002.jpg,True,216
115,imaging_lens_position_7.0_cam_0_1732282202.jpg,True,176
116,imaging_lens_position_7.0_cam_0_1732879802.jpg,True,210
117,imaging_lens_position_7.0_cam_0_1731378602.jpg,False,0
118,imaging_lens_position_7.0_cam_0_1731562202.jpg,False,0
119,imaging_lens_position_7.0_cam_0_1732530602.jpg,True,653
120,imaging_lens_position_7.0_cam_0_1731558602.jpg,False,0
121,imaging_lens_position_7.0_cam_0_1731468602.jpg,False,0
122,imaging_lens_position_7.0_cam_0_1731375002.jpg,False,0
123,imaging_lens_position_7.0_cam_0_1731105002.jpg,False,0
124,imaging_lens_position_7.0_cam_0_1732095002.jpg,True,159
125,imaging_lens_position_7.0_cam_0_1733070602.jpg,True,1077
126,imaging_lens_position_7.0_cam_0_1732347002.jpg,True,449
127,imaging_lens_position_7.0_cam_0_1731097802.jpg,False,0
128,imaging_lens_position_7.0_cam_0_1732199402.jpg,True,188
129,imaging_lens_position_7.0_cam_0_1733052602.jpg,True,918
130,imaging_lens_position_7.0_cam_0_1732393802.jpg,True,448
131,imaging_lens_position_7.0_cam_0_1731400202.jpg,False,0
132,imaging_lens_position_7.0_cam_0_1731850202.jpg,True,145
133,imaging_lens_position_7.0_cam_0_1731191402.jpg,False,0
134,imaging_lens_position_7.0_cam_0_1732264202.jpg,True,408
135,imaging_lens_position_7.0_cam_0_1731886202.jpg,True,157
136,imaging_lens_position_7.0_cam_0_1732275002.jpg,True,163
137,imaging_lens_position_7.0_cam_0_1733243402.jpg,True,1214
138,imaging_lens_position_7.0_cam_0_1731335402.jpg,False,0
139,imaging_lens_position_7.0_cam_0_1732995002.jpg,True,197
140,imaging_lens_position_7.0_cam_0_1732840202.jpg,True,191
141,imaging_lens_position_7.0_cam_0_1732397402.jpg,True,426
142,imaging_lens_position_7.0_cam_0_1731360602.jpg,False,0
143,imaging_lens_position_7.0_cam_0_1733157002.jpg,True,1223
144,imaging_lens_position_7.0_cam_0_1731364202.jpg,False,0
145,imaging_lens_position_7.0_cam_0_1732494602.jpg,True,585
146,imaging_lens_position_7.0_cam_0_1732901402.jpg,True,886
147,imaging_lens_position_7.0_cam_0_1731331802.jpg,False,0
148,imaging_lens_position_7.0_cam_0_1732260602.jpg,True,205
149,imaging_lens_position_7.0_cam_0_1732818602.jpg,True,882
150,imaging_lens_position_7.0_cam_0_1732501802.jpg,True,419
151,imaging_lens_position_7.0_cam_0_1732836602.jpg,True,205
152,imaging_lens_position_7.0_cam_0_1731015002.jpg,False,0
153,imaging_lens_position_7.0_cam_0_1731997802.jpg,True,130
